subject_id,group,message_order,message_id,date,message,annotator_1_label,annotator_1_dimension,annotator_2_label,annotator_2_dimension,annotator_3_label,annotator_3_dimension,final_label,final_dimension,notes
subject111,control,9,30028162946,2022-04-16 01:28:28,"Bienvenida , yo soy del norte Navarra",,,,,,,,,
subject111,control,10,55940364646,2022-04-16 01:29:51,A ti cara sacando la lengua y guiñando un ojo,,,,,,,,,
subject111,control,11,82493939,2022-04-16 01:31:33,Hay gente que lo tiene publicado en perfil y otros oculto,,,,,,,,,
subject111,control,12,10275096007,2022-04-16 01:34:47,Podia estar mas cerca la gente para conocernos cara sonriendo con ojos grandes,,,,,,,,,
subject111,control,13,32483084626,2022-04-16 01:38:21,"Cada uno tiene sus problemas , sus ansiedades o cosas que lleva peor , lo bueno que aqui te entiendes mejor que con la gente de tu alrededor",,,,,,,,,
subject111,control,14,93508477812,2022-04-16 01:39:24,"Depende con quien conozcas , a mi hay gente que me corta total y otros con los que puedo hablar sin parar",,,,,,,,,
subject111,control,15,30415786514,2022-04-16 01:40:22,"Trankila paso a paso , poco a poco",,,,,,,,,
subject111,control,16,86031866813,2022-04-16 01:43:03,"Yo tb algo alocado , pero es que hay que ser asi , con ganas , con alegria . Si que en ocasiones con los palos de la vida y personas malas en el camino . Dan ganas de aislarse , que asco me da la gente falsa , que solo te quiere por interes",,,,,,,,,
subject111,control,17,80625390388,2022-04-16 01:45:36,"Yo estuve hace años en Puerto Santa Maria , y alrededores que bonito cara sonriendo con ojos de corazón , que salero que alegria que buen tiemp",,,,,,,,,
subject111,control,18,29748076011,2022-04-16 01:46:39,dedos juntos apuntando hacia arriba,,,,,,,,,
subject111,control,19,53258130638,2022-04-16 01:47:32,En italia no he estado,,,,,,,,,
subject111,control,20,71242470649,2022-04-16 01:47:56,Quien me acompaña ? cara llorando de risa,,,,,,,,,
subject111,control,21,97978639720,2022-04-16 01:49:47,"De que zona de Italia , gustos ? Costumbres ?",,,,,,,,,
subject111,control,22,94310738335,2022-04-16 01:52:00,"Yo cuando fui a Cadiz con amigos , en los pesjes de autopista eran todos muy serios , algunos ni saludaban y otros les costaba . Fue llegar Andalucia y vaya alegria y simpatia el del peaje cara llorando de risa",,,,,,,,,
subject111,control,23,88146169253,2022-04-16 01:55:03,"En norte son mas cerrados y secos , sera el frio cara llorando de risa mono con los ojos tapados",,,,,,,,,
subject111,control,24,55811464891,2022-04-16 01:56:36,"Pues subete al norte cara con frío , yo antes de calor a tope pero ahora me va superando",,,,,,,,,
subject111,control,25,59177395648,2022-04-16 03:23:57,Yo estoy en el club,,,,,,,,,
subject111,control,26,73693126480,2022-04-16 03:28:32,"Poco a poco , el vivir con todo esto tambien te ayuda a ver que es lo que mejor te va para estar bien , mucho animo",,,,,,,,,
subject111,control,27,77028318123,2022-04-16 03:29:25,"Vaya peluche cara haciendo una mueca , yo soy mas de perro",,,,,,,,,
subject111,control,28,29825987003,2022-04-16 03:30:12,"Aqui eso lo vas a encontrar , porque muchos te entedemos",,,,,,,,,
subject111,control,29,97159937994,2022-04-16 03:30:59,Eso despues de la tormenta viene la calma,,,,,,,,,
subject111,control,30,22799761557,2022-04-16 04:07:58,Algun hiperactivo ? No puedo dormir mono con los ojos tapados,,,,,,,,,
subject111,control,31,4807079044,2022-04-16 10:55:07,Buenos dias a tod @s sol,,,,,,,,,
subject111,control,32,7182181335,2022-04-16 16:18:10,Yo con esto dudo que me atreva cara haciendo una mueca mono con los ojos tapados,,,,,,,,,
subject111,control,33,12645909428,2022-04-16 16:18:45,"España , Navarra . Nacedero de Arteta",,,,,,,,,
subject111,control,34,85867346041,2022-04-16 16:19:51,Tb buenos lugares por ahi,,,,,,,,,
subject111,control,35,91011701753,2022-04-16 16:21:02,Si y puede que entres por una ventana abierta cara llorando de risa,,,,,,,,,
subject111,control,36,96897525252,2022-04-16 16:22:47,"No no , yo he ido de paseo con perro y estaban descendiendo unos amantes de adrenalina . Yo soy de descenso en bici",,,,,,,,,
subject111,control,37,66497121079,2022-04-17 02:43:59,"Eso esta muy bien , pero si lo corriges no lo haces cuando sientes estress , sino que lo haras como algo normal continuamente y te ayudara mucho en el dia a dia",,,,,,,,,
subject111,control,38,61611481646,2022-04-17 02:52:49,"Hola , buenas noches , por si os puede ayudar . Es un proceso que lleva su tiempo pero efectivo . Yo lo que llevo meses haciendo por recomendacion de un medico privado al que voy . El cual me envio a un dentista para corregir alineado de boca ( este alineado no es estetico es por salud ) y correcta respiracion . Me dijo que respiro por boca y lo tengo que corregir , solo tengo que respirar por nariz . Y coloco mal lengua al tragar , tambien lo estoy corrigiendo . Siendo respiracion solo por nariz , reducces el estress , el cuerpo se oxigena mas , reduces el cortisol ( que genera estress ) , tienes mayor sensacion de conexion entre cuerpo y mente . La nariz bloquea bacterias y otras particulas con los pelillos , boca no lo hace . Respirar por nariz son todo beneficios por boca no .",,,,,,,,,
subject111,control,39,30702617147,2022-04-17 03:03:00,Pues lo hace mal mas gente de la que imaginas . Tu cuando respiras estas con boca cerrada continuamente ? . Yo hasta ahora lo hacia mal .,,,,,,,,,
subject111,control,40,46131733207,2022-04-17 03:06:04,Entonces eres de los afortunados y pocos que lo hacen bien,,,,,,,,,
subject111,control,41,75173740217,2022-04-17 03:06:47,"Yo al respirar por boca siempre con garganta seca , labios agrietados … .",,,,,,,,,
subject111,control,42,56831688275,2022-04-17 03:10:29,"Esto no depende de nariz sino de diferentes cosas . El conducto que sube el aire a nariz y boca , si tienes cuello caido hacia adelante con hombros caidos , hace que se cierre conducto en zona nariz y el aire va a lo facil por boca . Es como coger una manguera de agua y doblarla deja de pasar",,,,,,,,,
subject111,control,43,46705923140,2022-04-17 03:15:41,Ya sabiendolo es un buen comienzo,,,,,,,,,
subject111,control,44,48745518264,2022-04-17 03:16:04,"Eso no sirve , no es una solucion",,,,,,,,,
subject111,control,45,86913559314,2022-04-17 03:27:01,Porque hay que enfrentarse a las cosas y solucionarlas . Lo facil es rendirse . Enfrentandote se aprende y se buscan soluciones,,,,,,,,,
subject111,control,46,8889771427,2022-04-17 03:29:48,"Si se hubiese rendido cada persona que invento cosas buenas que tenemos hoy , no existirian",,,,,,,,,
subject111,control,47,23693367104,2022-04-17 20:52:12,"Sin son amigos de los de verdad , se solucionara . Somos humanos y fallamos … .",,,,,,,,,
subject111,control,48,98777724836,2022-04-17 20:54:59,"Yo cuando he querido estar solo lo he conseguido , y sino doy señales de vida cada uno se busca la vida",,,,,,,,,
subject111,control,49,56283746749,2022-04-18 10:49:41,Buenos dias a tod @s ! ! !,,,,,,,,,
subject111,control,50,63573189951,2022-04-18 23:30:20,"Que te apoyo en tus decisiones , tienez toda la razon Nora , lucha por ti",,,,,,,,,
subject111,control,51,76252294851,2022-04-18 23:35:38,"No tienes que agradar a nadie , ser tu misma es lo que te va hacer feliz y tienen que quererte tal y como eres . Fingir no hace feliz",,,,,,,,,
subject111,control,52,35831991788,2022-04-18 23:36:54,Pues no te quieren ni respetan,,,,,,,,,
subject111,control,53,66889855883,2022-04-18 23:38:45,Porque estan ciegos y no ven lo especial que eres,,,,,,,,,
subject111,control,54,38934453181,2022-04-18 23:41:01,"Si lo eres , cree en ti , vales todo",,,,,,,,,
subject111,control,55,61933427875,2022-04-18 23:44:51,"Si , pero no lo ves , pero lo llegaras a ver",,,,,,,,,
subject111,control,56,79516421843,2022-04-19 10:32:35,Muy buenos dias a tod @s ! ! !,,,,,,,,,
subject111,control,57,81294749888,2022-04-19 20:52:42,Ni tu cara haciendo una mueca,,,,,,,,,
subject111,control,58,3106306252,2022-04-19 21:07:23,Lo se cara haciendo una mueca,,,,,,,,,
subject111,control,59,42008510848,2022-04-20 16:02:39,Holaaa muy buen dia a tod @s ! ! !,,,,,,,,,
subject111,control,60,79839007911,2022-04-22 11:15:47,Buenos dias a tod @s ! ! ! sol,,,,,,,,,
subject111,control,61,20369226136,2022-04-23 16:42:07,"Si no se lo dices tambien ye vas a quedar mal , el que no arriesga no gana",,,,,,,,,
subject111,control,62,47720234029,2022-04-23 16:49:44,"Tiene que superarte la fuerza a las ganas de irte y empezar tu vida , que el temor a decirselo y como te dice Jonatan lo compras y antes de irte se lo dices",,,,,,,,,
subject111,control,63,55118655707,2022-04-23 16:59:58,"Yo creo que si solo te lo puede sacar el porque tiene tu pasaporte , se lo digas , un dia se lo tendras que decir . Mas tardes mas se alarga tu espera x irte",,,,,,,,,
subject111,control,64,63701589129,2022-04-23 17:16:53,"Te entiendo Nora , pero aunque tengas costumbre de violencia , no es algo a lo que te acostumbres . Diselo cuanto antes , esta claro que nunca le va parecer bien . Lucha por ti , tu verdad y libertad . Te deseo que todo salga bien y termine pronto",,,,,,,,,
subject111,control,65,488016299,2022-04-23 19:01:11,No teneis hobbies algo que os apasione ?,,,,,,,,,
subject111,control,66,15638857642,2022-04-23 19:03:47,"Si , la verdad no puedo parar quieto cara haciendo una mueca . Yo soy de hacer ejercicios , mecanica de bici , inventar , arreglar , la verdad que cuando algo se rompe disfruto arreglando cara llorando de risa . Ahora tb diseñar y hacer piezas en impresion 3D",,,,,,,,,
subject111,control,67,46084789245,2022-04-23 19:05:18,Es verdad que cuando he estado muy de bajon me daba asco todo,,,,,,,,,
subject111,control,68,71455419709,2022-04-23 19:05:54,Pero es bueno forzarse para seguir adelante,,,,,,,,,
subject111,control,69,91859266411,2022-04-23 19:06:57,"Eso es muy bueno , poco a poco . Incluso aprender cosas nuevas que nos pueden alucinar",,,,,,,,,
subject111,control,70,37677161234,2022-04-23 19:08:51,Eso es genial como mola . Yo daba cursos de mecanica de bicis .,,,,,,,,,
subject111,control,71,30089436390,2022-04-24 22:21:43,"Bienvenida , aqui encontraras apoyo , cada uno sus experiencias , vivencias y soluciones … . animo",,,,,,,,,
subject111,control,72,16483510418,2022-04-24 22:55:11,"Yo pensaba que era gente nueva en grupo , hasta que he visto que vacilaban y faltaban el respeto , estaba flipando",,,,,,,,,
subject111,control,73,79921079314,2022-04-25 06:37:33,"Buenos dias a tod @s ! ! ! Se acabaron las vacaciones mono con los ojos tapados , animo bíceps flexionado",,,,,,,,,
subject111,control,74,12813648769,2022-05-05 20:10:00,"Os dejo una cancion que he escuchado por primera vez y dice tantas verdades , aver si os anima si os puede gustar",,,,,,,,,
subject111,control,75,36133244156,2022-05-07 14:55:18,"Bienvenida a España , buen viaje ! ! ! cara lanzando un beso",,,,,,,,,
subject111,control,76,36161343668,2022-05-09 12:13:18,"Bienvenida , animo , aqui te puedes deshaogar , te sentiras escuchada y entendida mejor que gente de tu entorno … yo tb de España",,,,,,,,,
subject111,control,77,42806129528,2022-05-09 12:24:45,"Hay que centrarse en uno mismo , para estar bien . Hay gente que solo absorbe , lo bueno bienvenido , lo malo fuera",,,,,,,,,
subject111,control,78,38597087517,2022-05-09 12:29:31,"45 años , estudie carpintero / ebanista , pero termine trabajando de mi pasion , mecanico de bicis cara haciendo una mueca",,,,,,,,,
subject111,control,79,11771795971,2022-05-09 12:30:40,"Ahora ando enganchado a la impresion 3D , por hobby",,,,,,,,,
subject111,control,80,65084549851,2022-05-09 12:31:47,"Todo llegara , yo muchos dias no haria nada , pero me obligo y me siento mejor",,,,,,,,,
subject111,control,81,87699962455,2022-05-09 12:32:35,"Si es cierto , aunque aveces te toca gente mala en trabajo que intenta pisarte y te quita la ilusion x todo",,,,,,,,,
subject111,control,82,55317299369,2022-05-09 12:33:18,Tu que edad y a que te dedicas ?,,,,,,,,,
subject111,control,83,21814027005,2022-05-09 12:34:10,"De eso nada , ninguna envidia ser politico buaggg , x ello no son ni mejores ni mas felices",,,,,,,,,
subject111,control,84,56552738019,2022-05-09 12:35:03,"Si , me pico curiosidad , me apunte a un curso intensivo de findesemana y siempre diseñando inventando cara llorando de risa",,,,,,,,,
subject111,control,85,89403474342,2022-05-09 12:36:50,Joe como molaaa manos aplaudiendo,,,,,,,,,
subject111,control,86,15522928731,2022-05-09 12:38:02,"Si esta muy chulo , a mi diseñar mis propias piezas me encanta . Soy mas de piezas funcionales y yo soy de regalar cara llorando de risa",,,,,,,,,
subject111,control,87,4862206643,2022-05-09 12:40:03,"Pocas cosas , me gustaria hacer mas cosas pero para bici pocas , al final es plastico . Pero se pueden hacer infinitas cosas",,,,,,,,,
subject111,control,88,40019404688,2022-05-09 12:44:16,A mi me flipa el tema poder hacer brazos piernas y luego para ayudar a gente y luego meter electronica a lo ironman xo aho me pierdo,,,,,,,,,
subject111,control,89,26936697693,2022-05-09 12:44:42,"Tambien he fabricado tablas de longboard , no puedo parar cara llorando de risa",,,,,,,,,
subject111,control,90,64383510208,2022-05-09 12:45:28,"Yo las regalo , salvo que ses un curro muy grande",,,,,,,,,
subject111,control,91,13029197746,2022-05-09 12:49:13,"Me gusta ver la cara de la gente cuando les regalas algo sin que se lo esperen , no hay precio",,,,,,,,,
subject111,control,92,72904630297,2022-05-09 12:50:10,"No esto no es con impresora , esto lo hago en madera con moldes para dar forma , resina epoxi … . el logo lo creo con el nombre de mi hija",,,,,,,,,
subject111,control,93,85658067676,2022-05-09 12:56:44,"Cada uno necesita su tiempo , su ritmo . Tu eres tu y ellos no son tu . Hagas bien cosas o mal siempre hay gente que va hablar , asi que tu creer en ti",,,,,,,,,
subject111,control,94,74169884151,2022-05-09 13:01:31,Cada uno es unico ni mejor ni peor . Yo no aspiro a ser como nadie sino a conseguir mi propia version y superarme a mi mismo . Si vives con lo que dicen los demas te puedes volver loco . Xk cada uno dice unos cosa y hay quien las dice para no ayudar,,,,,,,,,
subject111,control,95,84015908436,2022-05-09 13:04:25,Hay gente que se mete demasiado en las vidas de otros y no es para bien . En vez de resolver la suya . Tambien hay gente buena,,,,,,,,,
subject111,control,96,48041101238,2022-05-09 13:51:31,"Tienes que coger los consejos que tu consideres buenos , pero que no te generen mal estar . Tu eliges , tu decides si te equivocas no pasa nada asi se aprende , prueba error , animo campeon bíceps flexionado",,,,,,,,,
subject117,control,1,75613806565,2022-03-09 22:26:44,No creo que se refiera a ESA Biblia ...,,,,,,,,,
subject117,control,2,35449773312,2022-03-09 22:30:21,No pasa nada . Todos tienen derecho a tener amigos imaginarios .,,,,,,,,,
subject117,control,3,8776044825,2022-03-09 22:32:04,¿ A las cuantas visitas ? Creo que ya agote mi cupón .,,,,,,,,,
subject117,control,4,95345985431,2022-03-09 22:37:24,"Pues , ví personas hablándole a ventanas .",,,,,,,,,
subject117,control,5,19248390796,2022-03-09 22:38:03,Catolicismo fue lo que consumieron .,,,,,,,,,
subject117,control,6,13372101332,2022-03-09 23:11:21,Y el miedo lleva a la ira .,,,,,,,,,
subject117,control,7,65878806589,2022-03-09 23:14:43,Detrás de la luna .,,,,,,,,,
subject117,control,8,43198845757,2022-03-09 23:16:52,"Shape es "" forma "" en inglés . Y yo soy un poco cambiaformas .",,,,,,,,,
subject117,control,9,11194927000,2022-03-09 23:18:40,Que estoy cambiando todo el rato de identidad .,,,,,,,,,
subject117,control,10,54166615924,2022-03-09 23:20:23,¿ Ya me entendiste ?,,,,,,,,,
subject117,control,11,2416510996,2022-03-09 23:20:52,No se lo toman en serio .,,,,,,,,,
subject117,control,12,66038281757,2022-03-09 23:21:04,Es más bien ... una forma de hacer contracultura,,,,,,,,,
subject117,control,13,49545989891,2022-03-09 23:23:15,Jona ... cí en esta ribera del Arauca vibrador .,,,,,,,,,
subject117,control,14,82486273814,2022-03-09 23:23:19,notas musicales,,,,,,,,,
subject117,control,15,22105259269,2022-03-09 23:24:29,A mí más bien con las puertas .,,,,,,,,,
subject117,control,16,51948010332,2022-03-09 23:24:45,"Tengo que repetir la operación varias veces , hasta que no suene como yo quiero .",,,,,,,,,
subject117,control,17,90573994640,2022-03-09 23:24:52,Y también me pasa con las lámparas .,,,,,,,,,
subject117,control,18,84504735214,2022-03-09 23:25:14,¿ Sabes lo más cómico ?,,,,,,,,,
subject117,control,19,81390485199,2022-03-09 23:25:45,Que estudio para profesional de la salud mental .,,,,,,,,,
subject117,control,20,83145222499,2022-03-09 23:26:25,¿ En qué año ?,,,,,,,,,
subject117,control,21,8580122888,2022-03-09 23:27:12,Estoy en 4to de medicina .,,,,,,,,,
subject117,control,22,2487734070,2022-03-09 23:31:19,Aquí en la Cuba hace un maldito calor,,,,,,,,,
subject117,control,23,44816526094,2022-03-09 23:32:55,En La Habana estamos a 30 °,,,,,,,,,
subject117,control,24,91460975975,2022-03-09 23:33:29,"Yo te la presento . "" Hola , soy la Habana """,,,,,,,,,
subject117,control,25,3942328742,2022-03-09 23:38:54,"Ponla ya , si total , Putin no te va a ver jaja .",,,,,,,,,
subject117,control,26,45357531902,2022-03-09 23:39:20,Yo he hablado con varios ucranianos .,,,,,,,,,
subject117,control,27,82088726664,2022-03-09 23:39:31,"Son muy simpáticos , y están locos .",,,,,,,,,
subject117,control,28,28659329593,2022-03-09 23:40:54,Fue hace casi 10 años así que ya no recuerdo nada,,,,,,,,,
subject117,control,29,47424104006,2022-03-09 23:43:23,Algún día quizá regreso .,,,,,,,,,
subject117,control,30,7254449898,2022-03-09 23:46:55,"Adelante , que ya es hora .",,,,,,,,,
subject117,control,31,48142110835,2022-03-10 00:11:28,"Hay corazones mudos , o peor , bipolares .",,,,,,,,,
subject117,control,32,60083225052,2022-03-10 00:13:31,Seguro que no fue un descuido ?,,,,,,,,,
subject117,control,33,59175923841,2022-03-10 00:18:25,Decisiones impulsivas y precipitadas no suelen ser buenas .,,,,,,,,,
subject117,control,34,43226169775,2022-03-10 00:55:21,El día a día en La Habana,,,,,,,,,
subject117,control,35,94782586528,2022-03-10 00:59:38,"Una hora y media , majomeno",,,,,,,,,
subject117,control,36,51849418383,2022-03-10 01:00:29,"Si , por suerte gas , tengo . Gracias por preguntar .",,,,,,,,,
subject117,control,37,80497991678,2022-03-10 02:54:42,Sin duda el tener certeza sobre cosas que poseen una notable incertidumbre es todo un don que no muchos tienen el honor de recibir .,,,,,,,,,
subject117,control,38,78884803287,2022-03-10 02:55:22,Creo que no entendió ...,,,,,,,,,
subject119,control,1,48651846177,2019-12-02 18:45:41,Aqui estamos y tu,,,,,,,,,
subject119,control,2,76101153633,2019-12-02 19:17:26,Aqui ... Conocer gente con la misma opinion Q mchs vcs la vid es injust Y hay pocas ganas ...,,,,,,,,,
subject119,control,3,54587499561,2019-12-02 20:55:15,Buenas una pregunta Gente de España Especialmente de madrid por aqui ?,,,,,,,,,
subject119,control,4,92927249022,2019-12-04 11:44:00,Que tal Como vamos,,,,,,,,,
subject119,control,5,96007552673,2019-12-04 11:44:34,Ha oki Tb ... Casita ... Relax,,,,,,,,,
subject119,control,6,98572165478,2019-12-04 11:46:30,Haaa algun plan para hoy ?,,,,,,,,,
subject119,control,7,12153827687,2019-12-04 11:48:21,Ha que bien Pues yo casita Entrenar un poco para desconectar ... Y despued casita,,,,,,,,,
subject119,control,8,22229611471,2019-12-04 11:50:49,Algo es algo cara sonriendo con gafas de sol,,,,,,,,,
subject119,control,9,77050823737,2019-12-04 11:51:03,cara sacando la lengua y guiñando un ojo cara con ojos cerrados y lengua fuera,,,,,,,,,
subject119,control,10,78168447484,2019-12-04 11:51:22,cara sacando la lengua y guiñando un ojo cara sacando la lengua y guiñando un ojo,,,,,,,,,
subject119,control,11,14489428411,2019-12-05 11:08:41,Hola a todo @s Y feliz dia símbolo de mareo símbolo de mareo símbolo de mareo,,,,,,,,,
subject119,control,12,9961602050,2019-12-11 11:20:45,Hola Pues de momento un poco de relax ... Ya veremos despues Y tu Planes ?,,,,,,,,,
subject119,control,13,76189632178,2019-12-11 11:22:54,Muybien Eso esta bien,,,,,,,,,
subject134,bsa,1,31328825531,2020-05-17 22:29:00,Este grupo en que consiste ?,,,,,,,,,
subject134,bsa,2,42240159743,2020-05-17 22:41:44,Bueno imagino que habrá mucha gente que sienta está fría soledad y tristeza ... Esto de la pandemia solo ha echo que muchos vivan la realidad de otros ...,,,,,,,,,
subject134,bsa,3,82312684834,2020-06-21 18:57:23,Os voy a contar una historia,,,,,,,,,
subject134,bsa,4,28194403015,2020-06-21 18:59:53,"Yo sufrí problema de los que ustedes conocen , estuve meditandome una temporada y por circunstancias de la vida estaba en un hoyo del que creía que jamás podría salir",,,,,,,,,
subject134,bsa,5,57266353325,2020-06-21 19:00:51,"Me había separado , mi jefe era un hijo de la gran puta y está solo y con un hijo",,,,,,,,,
subject134,bsa,6,34284748557,2020-06-21 19:01:50,Lejos de hundirme aún más hice de mí desgracia una virtud,,,,,,,,,
subject134,bsa,7,68270332446,2020-06-21 19:02:45,Plante cara en la empresa y tras varias demandas soy delegado sindical y cobro y mis compañeros lo que le pertenece y se respetan sus derechos,,,,,,,,,
subject134,bsa,8,432499553,2020-06-21 19:03:15,Mi hijo crece feliz y es un encanto,,,,,,,,,
subject134,bsa,9,75989220957,2020-06-21 19:03:32,Mí vida a cambiado por completo,,,,,,,,,
subject134,bsa,10,86806349827,2020-06-21 19:04:21,Y aunque muchas veces veo el agujero tengo motivos de sobra para mirar para otro lado,,,,,,,,,
subject134,bsa,11,29754497434,2020-06-21 19:04:41,"Así que si lo estáis pasando mal , deciros que se sale",,,,,,,,,
subject134,bsa,12,57826868621,2020-06-21 19:05:06,"No es fácil , pero se sale",,,,,,,,,
subject134,bsa,13,51794333334,2020-06-21 19:06:47,A mi me dan bajones pero lo sobrellevo,,,,,,,,,
subject134,bsa,14,15478735955,2020-06-21 19:07:45,Cómo la primera vez no pero hay licho para no caer,,,,,,,,,
subject134,bsa,15,94699430013,2020-06-21 19:08:25,Yo siempre estoy activo para no caer,,,,,,,,,
subject134,bsa,16,84698931245,2020-06-21 19:08:52,Cuando paro unos días ya me siento mal,,,,,,,,,
subject134,bsa,17,96997709236,2020-06-21 19:10:18,Tampoco sabía la primera vez que tenía depresión,,,,,,,,,
subject134,bsa,18,44124503823,2020-06-21 19:11:03,"Y el médico me mandó un tac , pensaba que era algo físico",,,,,,,,,
subject134,bsa,19,24830838099,2020-06-21 19:11:42,Pero es que no me concentraba y me dolía mucho la cabeza,,,,,,,,,
subject142,bsf,1,65477534425,2020-12-20 04:10:42,cara con el ceño ligeramente fruncido corazón rojo,,,,,,,,,
subject142,bsf,2,75675253058,2020-12-20 04:13:00,"¿ Que pasa si sientes que eres un estorbo , que te hacen sentir ” inutil “ algunas personas de tu familia ?",,,,,,,,,
subject142,bsf,3,14202281473,2020-12-20 04:23:18,"Mira , mis padres siento que de los 3 hermanos a mi es la que más le tiran , porque mira a penas pregunto algo y no se reaccionan de una forma bastante agresiva conmigo y a veces siento que no puedo tener algún tipo de confianza por eso mismo , 59:9 el tiempo es como que “ Victoria aquí , Victoria allá “ por cada mínimo detalle es como si fuera una barbaridad , y saben yo siempre hago muchas cosas en mi casa , no es como que soy “ haragana , o una que no hace nada ” y mi mamá más que todo es bastante fuerte con sus palabras que te da un UUFF SÚPER BAJÓN en segundos que es ahí donde vos empiezas a pensar que si así vivirás toda tu adolescencia con “ regaños ” otra cosa , no me saben escuchar , cada momento quiero defender mi criterio porque yo de que ellos son los mayores pero ... ¿ Acaso los padres no aprenden también de los hijos ? y no saben escuchar lo que digo , es como que nunca me ponen atención , todo el tiempo “ tienen la razón “ .",,,,,,,,,
subject142,bsf,4,75010908497,2020-12-20 04:24:33,"Soy una persona bastante tranquila , divertida , alegre , reservada , todo terreno como dicen , me gusta ayudar a otros , pero a la hora que me toca ayudarme a mi misma siento que tengo tantos bajones que no logro eso",,,,,,,,,
subject142,bsf,5,57073816392,2020-12-20 04:24:48,De verdad agradezco eso cara de por favor,,,,,,,,,
subject142,bsf,6,94899229672,2020-12-20 04:26:52,"A veces no expreso mucho mis sentimientos , es bastante raro , no soy de mucho llorar la verdad pero últimamente me ha pasado esto y llorar se ha vuelto más encarnado a mi",,,,,,,,,
subject142,bsf,7,5659384146,2020-12-20 04:31:50,"Lo sé y es que también me duele un poco ya no poder hacer mi rutina cuando estoy triste , como salir en bicicleta escuchando música , ir a jugar fútbol , salir con mis amigos , todo con tal evitar escuchar regaños cara decepcionada cara decepcionada",,,,,,,,,
subject142,bsf,8,14319283738,2020-12-20 04:33:04,"No sos el único , habemos muchas personas también así , y también es un placer platicar con ustedes , pero no menciones eso ok , así como trato yo de poder las cosas tú también puedes ! ! !",,,,,,,,,
subject142,bsf,9,78356476846,2020-12-20 04:33:34,"La pandemia , ha hecho que nos reservemos un poco de lo exterior",,,,,,,,,
subject142,bsf,10,96373672181,2020-12-20 04:34:39,"Oye tranquilo , mira ponte tus audífonos y si quieres llorar , hazlo , saca todo eso , no es malo , que luego te quedarás dormido y por un rato te olvidaras de aquello",,,,,,,,,
subject142,bsf,11,59408029665,2020-12-20 04:39:33,Que es lo que te causa alegria ? ?,,,,,,,,,
subject142,bsf,12,61691472083,2020-12-20 04:50:25,"no hagas nada estupido , si ?",,,,,,,,,
subject142,bsf,13,87181166284,2020-12-20 04:56:12,"Bueno , si no entendí podrías explicarme ?",,,,,,,,,
subject142,bsf,14,23384765023,2020-12-20 04:58:35,"Si , pensé que se trataba que debía mejorar o algo así , lo lamento por la confusión",,,,,,,,,
